,code,FloatPopu,month
475,11210,15671043.2,2020-04-01
476,11220,26191703.38,2020-04-01
477,11230,39651598.73,2020-04-01
478,11240,29221705.66,2020-04-01
479,11250,18269542.71,2020-04-01
480,21000,178798.71,2020-04-01
481,22000,115366.73,2020-04-01
482,23010,675194.29,2020-04-01
483,23020,81902.79,2020-04-01
484,23030,582095.3099999999,2020-04-01
485,23040,598001.37,2020-04-01
486,23050,832649.93,2020-04-01
487,23060,1247221.93,2020-04-01
488,23070,804701.1900000001,2020-04-01
489,23080,1330719.0,2020-04-01
490,23310,210586.82,2020-04-01
491,23320,33113.14,2020-04-01
492,24000,116834.16,2020-04-01
493,25000,338424.34,2020-04-01
494,26000,53702.53,2020-04-01
495,29000,153163.6,2020-04-01
496,31011,501472.67,2020-04-01
497,31012,494639.18,2020-04-01
498,31013,398486.65,2020-04-01
499,31014,834564.47,2020-04-01
500,31021,1993580.54,2020-04-01
501,31022,1005657.03,2020-04-01
502,31023,3421243.83,2020-04-01
503,31030,2673139.84,2020-04-01
504,31041,1035891.32,2020-04-01
505,31042,1471516.29,2020-04-01
506,31050,4386298.38,2020-04-01
507,31060,2964929.27,2020-04-01
508,31070,412352.5,2020-04-01
509,31080,236997.68,2020-04-01
510,31091,516702.47,2020-04-01
511,31092,592354.84,2020-04-01
512,31101,4150154.36,2020-04-01
513,31103,1784762.98,2020-04-01
514,31104,1126663.97,2020-04-01
515,31110,968302.44,2020-04-01
516,31120,2121293.15,2020-04-01
517,31130,4891117.65,2020-04-01
518,31140,236674.92,2020-04-01
519,31150,1137621.3,2020-04-01
520,31160,867969.46,2020-04-01
521,31170,638210.22,2020-04-01
522,31180,4085162.4,2020-04-01
523,31191,593915.49,2020-04-01
524,31192,1263079.37,2020-04-01
525,31193,1296672.47,2020-04-01
526,31200,1484848.43,2020-04-01
527,31210,433732.48,2020-04-01
528,31220,234691.89,2020-04-01
529,31230,2290222.27,2020-04-01
530,31240,1318945.36,2020-04-01
531,31250,1569220.12,2020-04-01
532,31260,1001578.05,2020-04-01
533,31270,607247.51,2020-04-01
534,31280,283313.16,2020-04-01
535,31350,90396.94,2020-04-01
536,31370,415501.11,2020-04-01
537,31380,716296.96,2020-04-01
538,32000,1189821.47,2020-04-01
539,33000,659475.95,2020-04-01
540,34000,1060514.52,2020-04-01
541,35000,290861.77,2020-04-01
542,36000,165994.03,2020-04-01
543,37000,268403.48,2020-04-01
544,38000,164790.31,2020-04-01
545,39000,132477.08000000002,2020-04-01
546,11010,19879653.43,2020-05-01
547,11020,20874572.05,2020-05-01
548,11030,15111324.27,2020-05-01
549,11040,16987085.19,2020-05-01
550,11050,18763233.74,2020-05-01
551,11060,16876466.72,2020-05-01
552,11070,15486409.0,2020-05-01
553,11080,19081033.01,2020-05-01
554,11090,13341943.69,2020-05-01
555,11100,12133257.1,2020-05-01
556,11110,22074870.66,2020-05-01
557,11120,18673851.7,2020-05-01
558,11130,17257098.04,2020-05-01
559,11140,25187714.55,2020-05-01
560,11150,16708900.58,2020-05-01
561,11160,24588537.07,2020-05-01
562,11170,17771147.92,2020-05-01
563,11180,10701866.69,2020-05-01
564,11190,26097121.9,2020-05-01
